"Rank","Title","Release","Distributor","Genre","MPAA","Gross","Tickets","AdjGross"
  1,"Transformers: Revenge of the Fallen","6/24/2009","Paramount Pictures","Action","PG-13",  402111870,  53614916,  423021687
  2,"Avatar","12/18/2009","20th Century Fox","Action","PG-13",  352114898,  46948653,  370424872
  3,"Harry Potter and the Half-Blood Prince","7/15/2009","Warner Bros.","Adventure","PG",  301959197,  40261226,  317661073
  4,"Up","5/29/2009","Walt Disney Pictures","Adventure","PG",  293004164,  39067222,  308240382
  5,"The Twilight Saga: New Moon","11/20/2009","Summit Entertainment","Drama","PG-13",  287954655,  38393954,  302928297
  6,"The Hangover","6/5/2009","Warner Bros.","Comedy","R",  277322503,  36976334,  291743275
  7,"Star Trek","5/8/2009","Paramount Pictures","Adventure","PG-13",  257730019,  34364003,  271131984
  8,"The Blind Side","11/20/2009","Warner Bros.","Drama","PG-13",  208476067,  27796809,  219316823
  9,"Monsters vs. Aliens","3/27/2009","Paramount Pictures","Adventure","PG",  198351526,  26446870,  208665804
 10,"Ice Age: Dawn of the Dinosaurs","7/1/2009","20th Century Fox","Adventure","PG",  196573705,  26209827,  206795535
 11,"X-Men Origins: Wolverine","5/1/2009","20th Century Fox","Action","PG-13",  179883157,  23984421,  189237082
 12,"Night at the Museum: Battle of the Smithsonian","5/22/2009","20th Century Fox","Comedy","PG",  177243721,  23632496,  186460393
 13,"The Proposal","6/19/2009","Walt Disney Pictures","Romantic Comedy","PG-13",  163958031,  21861071,  172483850
 14,"2012","11/13/2009","Sony Pictures","Action","PG-13",  163442129,  21792284,  171941121
 15,"Alvin and the Chipmunks: The Squeakquel","12/23/2009","20th Century Fox","Comedy","PG",  155916935,  20788925,  164024618
 16,"Fast & Furious","4/3/2009","Universal","Action","PG-13",  155064265,  20675235,  163127604
 17,"G.I. Joe: The Rise of Cobra","8/7/2009","Paramount Pictures","Action","PG-13",  150201498,  20026866,  158011973
 18,"Paul Blart: Mall Cop","1/16/2009","Sony Pictures","Comedy","PG",  146336178,  19511490,  153945656
 19,"Taken","1/30/2009","20th Century Fox","Thriller/Suspense","PG-13",  145000989,  19333465,  152541039
 20,"Sherlock Holmes","12/25/2009","Warner Bros.","Adventure","PG-13",  138715437,  18495392,  145928643
 21,"Gran Torino","12/12/2008","Warner Bros.","Drama","R",  138274748,  18436633,  145465034
 22,"Disney's A Christmas Carol","11/6/2009","Walt Disney Pictures","Drama","PG",  137443917,  18325856,  144591004
 23,"Angels & Demons","5/15/2009","Sony Pictures","Thriller/Suspense","PG-13",  133375846,  17783446,  140311389
 24,"Terminator Salvation: The Future Begins","5/21/2009","Warner Bros.","Action","PG-13",  125322469,  16709663,  131839241
 25,"Cloudy with a Chance of Meatballs","9/18/2009","Sony Pictures","Comedy","PG",  124264907,  16568654,  130726680
 26,"Inglourious Basterds","8/21/2009","Weinstein Co.","Action","R",  120774594,  16103279,  127054871
 27,"G-Force","7/24/2009","Walt Disney Pictures","Adventure","PG",  119436770,  15924903,  125647485
 28,"District 9","8/14/2009","Sony Pictures","Thriller/Suspense","R",  115646235,  15419498,  121659839
 29,"Slumdog Millionaire","11/12/2008","Fox Searchlight","Drama","R",  112654105,  15020547,  118512116
 30,"Couples Retreat","10/9/2009","Universal","Comedy","PG-13",  108511760,  14468235,  114154374
 31,"Paranormal Activity","9/25/2009","Paramount Pictures","Horror","R",  107854596,  14380613,  113463037
 32,"Watchmen","3/6/2009","Warner Bros.","Action","R",  107509799,  14334640,  113100310
 33,"Public Enemies","7/1/2009","Universal","Drama","R",  97104620,  12947283,  102154063
 34,"Julie & Julia","8/7/2009","Sony Pictures","Comedy","PG-13",  94125426,  12550057,  99019950
 35,"He's Just Not That Into You","2/6/2009","Warner Bros.","Romantic Comedy","PG-13",  93953653,  12527154,  98839245
 36,"Madea Goes To Jail","2/20/2009","Lionsgate","Comedy","PG-13",  90508336,  12067778,  95214768
 37,"The Ugly Truth","7/24/2009","Sony Pictures","Romantic Comedy","R",  88915214,  11855362,  93538806
 38,"The Princess and the Frog","11/25/2009","Walt Disney Pictures","Adventure","G",  85859339,  11447912,  90324026
 39,"Knowing","3/20/2009","Summit Entertainment","Thriller/Suspense","PG-13",  79957634,  10661018,  84115432
 40,"Hannah Montana the Movie","4/10/2009","Walt Disney Pictures","Drama","G",  79576189,  10610159,  83714155
 41,"Where the Wild Things Are","10/16/2009","Warner Bros.","Adventure","PG",  76566491,  10208865,  80547945
 42,"Zombieland","10/2/2009","Sony Pictures","Comedy","R",  75590286,  10078705,  79520982
 43,"Coraline","2/6/2009","Focus Features","Adventure","PG",  75286229,  10038164,  79201114
 44,"Hotel for Dogs","1/16/2009","Paramount Pictures","Comedy","PG",  73178547,  9757140,  76983835
 45,"Law Abiding Citizen","10/16/2009","Overture Films","Thriller/Suspense","R",  72928813,  9723842,  76721113
 46,"Michael Jackson's This Is It","10/28/2009","Sony Pictures","Documentary","PG",  72091016,  9612135,  75839745
 47,"I Love You, Man","3/20/2009","Paramount Pictures","Comedy","R",  72013010,  9601735,  75757689
 48,"Obsessed","4/24/2009","Sony Pictures","Thriller/Suspense","PG-13",  68261644,  9101553,  71811253
 49,"Race to Witch Mountain","3/13/2009","Walt Disney Pictures","Adventure","PG",  67172594,  8956346,  70665570
 50,"The Final Destination","8/28/2009","Warner Bros.","Horror","R",  66477700,  8863693,  69934538
 51,"The Taking of Pelham 123","6/12/2009","Sony Pictures","Action","R",  65452312,  8726975,  68855833
 52,"Friday the 13th","2/13/2009","Warner Bros.","Horror","R",  65002019,  8666936,  68382125
 53,"17 Again","4/17/2009","Warner Bros.","Comedy","PG-13",  64167069,  8555609,  67503755
 54,"The Time Traveler's Wife","8/14/2009","Warner Bros.","Drama","PG-13",  63414846,  8455313,  66712420
 55,"Brüno","7/10/2009","Universal","Comedy","R",  60054530,  8007271,  63177368
 56,"It's Complicated","12/25/2009","Universal","Romantic Comedy","R",  59178840,  7890512,  62256140
 57,"Bride Wars","1/9/2009","20th Century Fox","Comedy","PG",  58715510,  7828735,  61768719
 58,"The Haunting in Connecticut","3/27/2009","Lionsgate","Horror","PG-13",  55389516,  7385269,  58269772
 59,"Ghosts of Girlfriends Past","5/1/2009","Warner Bros.","Romantic Comedy","PG-13",  55250026,  7366670,  58123026
 60,"Funny People","7/31/2009","Universal","Comedy","R",  51855045,  6914006,  54551507
 61,"I Can Do Bad All By Myself","9/11/2009","Lionsgate","Comedy","PG-13",  51733921,  6897856,  54424084
 62,"My Bloody Valentine","1/16/2009","Lionsgate","Horror","R",  51545952,  6872794,  54226345
 63,"Land of the Lost","6/5/2009","Universal","Comedy","PG-13",  49438370,  6591783,  52009168
 64,"My Sister's Keeper","6/26/2009","Warner Bros.","Drama","PG-13",  49200230,  6560031,  51758645
 65,"The Curious Case of Benjamin Button","12/25/2008","Paramount Pictures","Drama","PG-13",  48212240,  6428299,  50719279
 66,"Old Dogs","11/25/2009","Walt Disney Pictures","Comedy","PG",  47239575,  6298610,  49696033
 67,"Underworld 3: Rise of the Lycans","1/23/2009","Sony Pictures","Action","R",  45802315,  6106975,  48184033
 68,"Up in the Air","12/4/2009","Paramount Pictures","Drama","R",  44375265,  5916702,  46682779
 69,"Confessions of a Shopaholic","2/13/2009","Walt Disney Pictures","Romantic Comedy","PG",  44277350,  5903647,  46579775
 70,"Precious (Based on the Novel Push by Sapphire)","11/6/2009","Lionsgate","Drama","R",  43760123,  5834683,  46035649
 71,"Year One","6/19/2009","Sony Pictures","Comedy","PG-13",  43337279,  5778304,  45590819
 72,"The Unborn","1/9/2009","Universal","Horror","PG-13",  42670410,  5689388,  44889271
 73,"Drag Me To Hell","5/29/2009","Universal","Horror","PG-13",  42100625,  5613417,  44289860
 74,"Orphan","7/24/2009","Warner Bros.","Drama","R",  41596251,  5546167,  43759258
 75,"Duplicity","3/20/2009","Universal","Thriller/Suspense","PG-13",  40572825,  5409710,  42682612
 76,"Planet 51","11/20/2009","Sony Pictures","Adventure","PG",  39570569,  5276076,  41628240
 77,"Surrogates","9/25/2009","Walt Disney Pictures","Action","PG-13",  38577772,  5143703,  40583817
 78,"Ninja Assassin","11/25/2009","Warner Bros.","Action","R",  37492774,  4999037,  39442402
 79,"State of Play","4/17/2009","Universal","Thriller/Suspense","PG-13",  37017955,  4935727,  38942886
 80,"Notorious","1/16/2009","Fox Searchlight","Drama","R",  36843682,  4912491,  38759554
 81,"Marley & Me","12/25/2008","20th Century Fox","Comedy","PG",  36489705,  4865294,  38387170
 82,"The Pink Panther 2","2/6/2009","Sony Pictures","Comedy","PG",  35922978,  4789730,  37790970
 83,"All About Steve","9/4/2009","20th Century Fox","Romantic Comedy","PG-13",  33862903,  4515054,  35623776
 84,"Halloween 2","8/28/2009","Weinstein/Dimension","Horror","R",  33392973,  4452396,  35129404
 85,"The Informant","9/18/2009","Warner Bros.","Thriller/Suspense","R",  33316821,  4442243,  35049297
 86,"The Last House on the Left","3/13/2009","Universal","Horror","R",  32752215,  4366962,  34455330
 87,"(500) Days of Summer","7/17/2009","Fox Searchlight","Romantic Comedy","PG-13",  32425665,  4323422,  34111800
 88,"The Men Who Stare at Goats","11/6/2009","Overture Films","Black Comedy","R",  32018431,  4269124,  33683388
 89,"earth","4/22/2009","Walt Disney Pictures","Documentary","G",  32011576,  4268210,  33676177
 90,"The Soloist","4/24/2009","Paramount Pictures","Drama","PG-13",  31853584,  4247145,  33509974
 91,"Push","2/6/2009","Summit Entertainment","Thriller/Suspense","PG-13",  31811527,  4241537,  33465727
 92,"9","9/9/2009","Focus Features","Adventure","PG-13",  31749894,  4233319,  33400887
 93,"Toy Story 3D Double Feature","10/2/2009","Walt Disney Pictures","Adventure","G",  30702446,  4093659,  32298970
 94,"The Reader","12/10/2008","Weinstein Co.","Drama","R",  30640829,  4085444,  32234153
 95,"Invictus","12/11/2009","Warner Bros.","Drama","PG-13",  30586445,  4078193,  32176943
 96,"The Stepfather","10/16/2009","Sony Pictures","Thriller/Suspense","PG-13",  29062561,  3875008,  30573813
 97,"The Uninvited","1/30/2009","Paramount Pictures","Horror","PG-13",  28596818,  3812909,  30083852
 98,"Defiance","12/31/2008","Paramount Vantage","Drama","R",  28444199,  3792560,  29923298
 99,"Saw VI","10/23/2009","Lionsgate","Horror","R",  27693292,  3692439,  29133344
100,"Brothers","12/4/2009","Lionsgate","Drama","R",  27414913,  3655322,  28840491
101,"Dance Flick","5/22/2009","Paramount Pictures","Comedy","PG-13",  25794018,  3439202,  27135304
102,"The Fourth Kind","11/6/2009","Universal","Thriller/Suspense","PG-13",  25464480,  3395264,  26788633
103,"The International","2/13/2009","Sony Pictures","Thriller/Suspense","R",  25450527,  3393404,  26773958
104,"Did You Hear About the Morgans?","12/18/2009","Sony Pictures","Romantic Comedy","PG-13",  25312384,  3374985,  26628632
105,"Aliens in the Attic","7/31/2009","20th Century Fox","Adventure","PG",  25200412,  3360055,  26510834
106,"The Wrestler","12/17/2008","Fox Searchlight","Drama","R",  24914015,  3321869,  26209546
107,"Bedtime Stories","12/25/2008","Walt Disney Pictures","Comedy","PG",  24562807,  3275041,  25840073
108,"Observe and Report","4/10/2009","Warner Bros.","Comedy","R",  24007324,  3200977,  25255709
109,"Fighting","4/24/2009","Universal","Action","PG-13",  23091010,  3078801,  24291740
110,"Love Happens","9/18/2009","Universal","Drama","PG-13",  22965110,  3062015,  24159298
111,"Revolutionary Road","12/26/2008","Paramount Vantage","Drama","R",  22951340,  3060179,  24144812
112,"Fame","9/25/2009","MGM","Musical","PG",  22455510,  2994068,  23623197
113,"Valkyrie","12/25/2008","United Artists","Thriller/Suspense","PG-13",  22373908,  2983188,  23537353
114,"Shorts","8/21/2009","Warner Bros.","Adventure","PG",  20919166,  2789222,  22006962
115,"Gamer","9/4/2009","Lionsgate","Action","R",  20534907,  2737988,  21602725
116,"Astro Boy","10/23/2009","Summit Entertainment","Adventure","PG",  19432359,  2590981,  20442840
117,"Under the Sea 3-D","2/13/2009","Warner Bros.","Documentary","G",  19416024,  2588803,  20425656
118,"Jonas Brothers: The 3D Concert Experience","2/27/2009","Walt Disney Pictures","Concert/Performance","G",  19162740,  2555032,  20159202
119,"The Fantastic Mr. Fox","11/13/2009","20th Century Fox","Adventure","PG",  19123189,  2549759,  20117599
120,"The Invention of Lying","10/2/2009","Warner Bros.","Comedy","PG-13",  18451251,  2460167,  19410718
121,"Yes Man","12/19/2008","Warner Bros.","Comedy","PG-13",  18183588,  2424478,  19129131
122,"Inkheart","1/23/2009","Warner Bros.","Adventure","PG",  17303424,  2307123,  18203200
123,"Fired Up","2/20/2009","Sony Pictures","Comedy","PG-13",  17231291,  2297505,  18127314
124,"New in Town","1/30/2009","Lionsgate","Romantic Comedy","PG",  16734283,  2231238,  17604468
125,"Imagine That","6/12/2009","Paramount Pictures","Comedy","PG",  16222392,  2162986,  17065960
126,"Jennifer's Body","9/18/2009","20th Century Fox","Thriller/Suspense","R",  16204793,  2160639,  17047442
127,"Adventureland","4/3/2009","Miramax","Black Comedy","R",  16044025,  2139203,  16878312
128,"Twilight","11/21/2008","Summit Entertainment","Drama","PG-13",  15847004,  2112934,  16671049
129,"Armored","12/4/2009","Sony Pictures","Thriller/Suspense","PG-13",  15815302,  2108707,  16637698
130,"A Perfect Getaway","8/7/2009","Universal","Thriller/Suspense","R",  15515460,  2068728,  16322264
131,"The Goods: Live Hard, Sell Hard","8/14/2009","Paramount Vantage","Comedy","R",  15122676,  2016357,  15909057
132,"Ponyo","8/14/2009","Walt Disney Pictures","Adventure","G",  15090399,  2012053,  15875098
133,"The Box","11/6/2009","Warner Bros.","Thriller/Suspense","PG-13",  15045676,  2006090,  15828050
134,"I Love You, Beth Cooper","7/10/2009","20th Century Fox","Comedy","PG-13",  14800725,  1973430,  15570363
135,"Doubt","12/12/2008","Miramax","Drama","PG-13",  14740989,  1965465,  15507519
136,"Milk","11/26/2008","Focus Features","Drama","R",  14683305,  1957774,  15446837
137,"Last Chance Harvey","12/25/2008","Overture Films","Drama","PG-13",  14538095,  1938413,  15294079
138,"Capitalism: A Love Story","9/23/2009","Overture Films","Documentary","R",  14363397,  1915120,  15110297
139,"Amelia","10/23/2009","Fox Searchlight","Drama","PG",  14224141,  1896552,  14963795
140,"Cirque du Freak: The Vampire's Assistant","10/23/2009","Universal","Action","PG-13",  14046595,  1872879,  14777015
141,"Nine","12/18/2009","Weinstein Co.","Musical","PG-13",  13745976,  1832797,  14460768
142,"Crank 2: High Voltage","4/17/2009","Lionsgate","Thriller/Suspense","R",  13684249,  1824567,  14395834
143,"Whip It","10/2/2009","Fox Searchlight","Comedy","PG-13",  13077184,  1743625,  13757201
144,"Magnificent Desolation","9/23/2005","IMAX Films","Documentary","Not Rated",  13024828,  1736644,  13702121
145,"The Hurt Locker","6/26/2009","Summit Entertainment","Drama","R",  12671105,  1689481,  13330005
146,"Frost/Nixon","12/5/2008","Universal","Drama","R",  12330855,  1644114,  12972059
147,"12 Rounds","3/27/2009","20th Century Fox","Action","PG-13",  12234694,  1631293,  12870902
148,"Sunshine Cleaning","3/13/2009","Overture Films","Comedy","R",  12062558,  1608341,  12689810
149,"Sorority Row","9/11/2009","Summit Entertainment","Horror","R",  11965282,  1595371,  12587477
150,"Extract","9/4/2009","Miramax","Comedy","R",  10823158,  1443088,  11385964
151,"De père en flic","7/8/2009","Alliance","Comedy","Not Rated",  10644453,  1419260,  11197961
152,"Not Easily Broken","1/9/2009","Sony Pictures","Drama","PG-13",  10572742,  1409699,  11122525
153,"Pandorum","9/25/2009","Overture Films","Horror","R",  10330853,  1377447,  10868057
154,"Whiteout","9/11/2009","Warner Bros.","Thriller/Suspense","R",  10275638,  1370085,  10809971
155,"Next Day Air","5/8/2009","Summit Entertainment","Comedy","R",  10027047,  1336940,  10548457
156,"The Boondock Saints 2: All Saints Day","10/30/2009","Apparition","Action","R",  9957954,  1327727,  10475766
157,"Seven Pounds","12/19/2008","Sony Pictures","Drama","PG-13",  9804526,  1307270,  10314360
158,"Away We Go","6/5/2009","Focus Features","Comedy","R",  9451946,  1260259,  9943444
159,"Dragonball Evolution","4/8/2009","20th Century Fox","Adventure","PG",  9362785,  1248371,  9849647
160,"Everybody's Fine","12/4/2009","Miramax","Comedy","PG-13",  9208876,  1227850,  9687737
161,"A Serious Man","10/2/2009","Focus Features","Comedy","R",  9190525,  1225403,  9668430
162,"Street Fighter: The Legend of Chun-Li","2/27/2009","20th Century Fox","Action","PG-13",  9135036,  1218005,  9610059
163,"My Life in Ruins","6/5/2009","Fox Searchlight","Romantic Comedy","PG-13",  8677425,  1156990,  9128651
164,"Pirate Radio","11/13/2009","Focus Features","Comedy","R",  7994115,  1065882,  8409809
165,"An Education","10/9/2009","Sony Pictures Classics","Drama","PG-13",  7883524,  1051137,  8293471
166,"The Collector","7/31/2009","Freestyle Releasing","Horror","R",  7712114,  1028282,  8113145
167,"Taking Woodstock","8/28/2009","Focus Features","Drama","R",  7460204,  994694,  7848136
168,"The Tale of Despereaux","12/19/2008","Universal","Adventure","G",  7215370,  962049,  7590567
169,"The Road","11/25/2009","Weinstein Co.","Drama","R",  6858313,  914442,  7214947
170,"Post Grad","8/21/2009","20th Century Fox","Comedy","PG-13",  6382178,  850957,  6714051
171,"Coco Before Chanel","9/25/2009","Sony Pictures Classics","Drama","PG-13",  5997682,  799691,  6309562
172,"Whatever Works","6/19/2009","Sony Pictures Classics","Romantic Comedy","PG-13",  5306706,  707561,  5582656
173,"Deep Sea 3-D","3/3/2006","Warner Bros.","Documentary","G",  5275270,  703369,  5549581
174,"Bandslam","8/14/2009","Summit Entertainment","Comedy","PG",  5210988,  694798,  5481956
175,"Moon","6/12/2009","Sony Pictures Classics","Thriller/Suspense","R",  5010163,  668022,  5270694
176,"The Day the Earth Stood Still","12/12/2008","20th Century Fox","Adventure","PG-13",  4942722,  659030,  5199747
177,"3 Idiots","12/23/2009","Reliance Big Pictures","Comedy","PG-13",  4757078,  634277,  5004446
178,"Miss March","3/13/2009","20th Century Fox","Comedy","R",  4543320,  605776,  4779573
179,"Bright Star","9/18/2009","Apparition","Drama","PG",  4444637,  592618,  4675756
180,"Food, Inc.","6/12/2009","Magnolia Pictures","Documentary","PG",  4417674,  589023,  4647391
181,"Good Hair","10/9/2009","Roadside Attractions","Documentary","PG-13",  4146170,  552823,  4361773
182,"Bolt","11/21/2008","Walt Disney Pictures","Comedy","PG",  4136434,  551525,  4351532
183,"The September Issue","8/28/2009","Roadside Attractions","Documentary","PG-13",  3817183,  508958,  4015679
184,"The Class","1/30/2009","Sony Pictures Classics","Drama","Not Rated",  3766810,  502241,  3962681
185,"The Brothers Bloom","5/15/2009","Summit Entertainment","Black Comedy","PG-13",  3531756,  470901,  3715409
186,"Space Station","4/19/2002","IMAX Films","Documentary","Not Rated",  3314255,  441901,  3486599
187,"Madagascar: Escape 2 Africa","11/7/2008","Paramount Pictures","Comedy","PG",  3158070,  421076,  3322290
188,"Two Lovers","2/13/2009","Magnolia Pictures","Drama","R",  3149034,  419871,  3312782
189,"Blade Runner","6/25/1982","Warner Bros.","Thriller/Suspense","R",  3016759,  402235,  3173634
190,"Trailer Park Boys: Countdown to Liquor Day","9/25/2009","Alliance","Comedy","R",  3012677,  401690,  3169334
191,"Australia","11/26/2008","20th Century Fox","Drama","PG-13",  2867289,  382305,  3016386
192,"Cheri","6/26/2009","Miramax","Drama","R",  2715657,  362088,  2856874
193,"Easy Virtue","5/22/2009","Sony Pictures Classics","Romantic Comedy","PG-13",  2656784,  354238,  2794938
194,"My One and Only","8/21/2009","Freestyle Releasing","Comedy","PG-13",  2556558,  340874,  2689496
195,"Quantum of Solace","11/14/2008","Sony Pictures","Action","PG-13",  2548014,  339735,  2680509
196,"Sin Nombre","3/20/2009","Focus Features","Thriller/Suspense","R",  2536665,  338222,  2668572
197,"Rachel Getting Married","10/3/2008","Sony Pictures Classics","Drama","R",  2489437,  331925,  2618888
198,"The Young Victoria","12/18/2009","Apparition","Drama","PG",  2456337,  327512,  2584070
199,"Love Aaj Kal","7/31/2009","Eros Entertainment","Romantic Comedy","Not Rated",  2430083,  324011,  2556447
200,"In the Loop","7/24/2009","IFC Films","Black Comedy","Not Rated",  2388804,  318507,  2513020
201,"The Dark Knight","7/18/2008","Warner Bros.","Action","PG-13",  2343780,  312504,  2465657
202,"Sea Monsters: A Prehistoric Adventure","10/5/2007","National Geographic Entertainment","Documentary","Not Rated",  2299538,  306605,  2419113
203,"Adam","7/29/2009","Fox Searchlight","Drama","PG-13",  2283291,  304439,  2402024
204,"The Girl with the Dragon Tatto","3/19/2010","Alliance","Thriller/Suspense","R",  2186693,  291559,  2300401
205,"Waltz with Bashir","12/25/2008","Sony Pictures Classics","Documentary","R",  2063408,  275121,  2170705
206,"The Spirit","12/25/2008","Lionsgate","Action","PG-13",  2062450,  274993,  2169695
207,"Is Anybody There?","4/17/2009","Stony Island Entertainment","Drama","PG-13",  2026756,  270234,  2132146
208,"Broken Embraces","11/20/2009","Sony Pictures Classics","Thriller/Suspense","R",  2022655,  269687,  2127830
209,"Dolphins and Whales Tribes of the Ocean 3D","2/15/2008","3D Entertainment","Documentary","Not Rated",  2013083,  268411,  2117763
210,"Fly Me To the Moon","8/15/2008","Summit Entertainment","Adventure","G",  1979528,  263937,  2082463
211,"Four Christmases","11/26/2008","Warner Bros.","Comedy","PG-13",  1956206,  260827,  2057925
212,"Rudo y Cursi","5/8/2009","Sony Pictures Classics","Comedy","R",  1827660,  243688,  1922698
213,"Valentino: The Last Emperor","3/18/2009","Truly Indie","Documentary","PG-13",  1755134,  234018,  1846402
214,"Che, Part 1: The Argentine","1/9/2009","IFC Films","Drama","Not Rated",  1733532,  231138,  1823679
215,"A Single Man","12/11/2009","Weinstein Co.","Drama","R",  1731649,  230887,  1821698
216,"Every Little Step","4/17/2009","Sony Pictures Classics","Documentary","PG-13",  1725141,  230019,  1814850
217,"Les doigts croches","7/31/2009","Alliance","Comedy","Not Rated",  1662485,  221665,  1748937
218,"Battle for Terra","5/1/2009","Roadside Attractions","Adventure","PG",  1647083,  219611,  1732731
219,"L'heure d'été","5/15/2009","IFC Films","Drama","Not Rated",  1647001,  219600,  1732644
220,"It Might Get Loud","8/14/2009","Sony Pictures Classics","Documentary","PG",  1610163,  214688,  1693888
221,"New York, I Love You","10/16/2009","Vivendi Entertainment","Drama","R",  1588087,  211745,  1670668
222,"Gomorrah","12/19/2008","IFC Films","Drama","Not Rated",  1573614,  209815,  1655440
223,"Babine","11/28/2008","Alliance","Drama","Not Rated",  1570226,  209363,  1651874
224,"Dédé, à travers les brumes","3/13/2009","TVA Films","Drama","Not Rated",  1548858,  206514,  1629395
225,"Departures","5/29/2009","Regent Releasing","Drama","PG-13",  1537546,  205006,  1617497
226,"Kambakkht Ishq","7/3/2009","Eros Entertainment","Romantic Comedy","Not Rated",  1445739,  192765,  1520916
227,"Bad Lieutenant: Port of Call New Orleans","11/20/2009","First Look","Drama","R",  1433091,  191079,  1507613
228,"I Hope They Serve Beer in Hell","9/25/2009","Freestyle Releasing","Comedy","R",  1429299,  190573,  1503621
229,"Polytechnique","2/6/2009","Vivafilm","Drama","Not Rated",  1418304,  189107,  1492054
230,"X Games 3D: The Movie","8/21/2009","Walt Disney Pictures","Documentary","PG",  1391434,  185525,  1463792
231,"Kaminey","8/14/2009","UTV Communications","Thriller/Suspense","Not Rated",  1286143,  171486,  1353025
232,"Paper Heart","8/7/2009","Overture Films","Comedy","PG-13",  1274062,  169875,  1340314
233,"The Secrets of Jonathan Sperry","9/18/2009","Five & Two Pictures","Drama","PG",  1167623,  155683,  1228339
234,"Yoo-Hoo, Mrs. Goldberg","7/10/2009","International Film Circuit","Documentary","Not Rated",  1133662,  151155,  1192613
235,"Sugar","4/3/2009","Sony Pictures Classics","Drama","R",  1081922,  144256,  1138180
236,"5150, Rue des Ormes","10/9/2009","Alliance","NA","NA",  1053966,  140529,  1108774
237,"The Imaginarium of Doctor Parnassus","12/25/2009","Sony Pictures Classics","Adventure","PG-13",  1029821,  137309,  1083368
238,"New York","6/26/2009","Yash Raj Films","NA","NA",  997437,  132992,  1049307
239,"Jumper","2/14/2008","20th Century Fox","Adventure","PG-13",  996137,  132818,  1047934
240,"Paris","9/18/2009","Equinox","Comedy","R",  960240,  128032,  1010172
241,"More Than a Game","10/2/2009","Lionsgate","Documentary","PG",  950675,  126757,  1000113
242,"De Dana Dan","11/27/2009","NA","Comedy","NA",  944979,  125997,  994116
243,"Me and Orson Welles","11/25/2009","Freestyle Releasing","Drama","PG-13",  942276,  125637,  991276
244,"Management","5/15/2009","Samuel Goldwyn Films","Romantic Comedy","NA",  934658,  124621,  983260
245,"Chandni Chowk to China","1/16/2009","Warner Bros.","Musical","PG-13",  921738,  122898,  969665
246,"Cold Souls","8/7/2009","Samuel Goldwyn Films","Drama","PG-13",  905209,  120695,  952284
247,"Tyson","4/24/2009","Sony Pictures Classics","Documentary","R",  887918,  118389,  934089
248,"Delhi 6","2/13/2009","UTV Communications","NA","Not Rated",  879913,  117322,  925671
249,"Goodbye Solo","3/27/2009","Roadside Attractions","Drama","R",  871445,  116193,  916763
250,"The Cove","7/31/2009","Roadside Attractions","Documentary","PG-13",  861796,  114906,  906608
251,"Seraphine","6/5/2009","Music Box Films","NA","NA",  857997,  114400,  902616
252,"Paris 36","4/3/2009","Sony Pictures Classics","NA","Not Rated",  850575,  113410,  894805
253,"I've Loved You So Long","10/24/2008","Sony Pictures Classics","Drama","Not Rated",  813326,  108443,  855615
254,"The Boys are Back","9/25/2009","Miramax","Drama","PG-13",  809752,  107967,  851860
255,"Echelon Conspiracy","2/27/2009","After Dark","NA","PG-13",  796716,  106229,  838147
256,"The Wonder of it All","7/17/2009","Indican Pictures","NA","NA",  780661,  104088,  821254
257,"Superhero Movie","3/28/2008","MGM","Comedy","PG-13",  764486,  101931,  804236
258,"Billo Barber","2/13/2009","NA","NA","Not Rated",  754928,  100657,  794184
259,"Wendy and Lucy","12/10/2008","Oscilloscope Pictures","Drama","R",  754366,  100582,  793592
260,"Kurbaan","11/20/2009","UTV Communications","NA","NA",  754269,  100569,  793489
261,"1981","9/4/2009","NA","NA","NA",  753197,  100426,  792361
262,"The Great Buck Howard","3/20/2009","Magnolia Pictures","Drama","PG",  750587,  100078,  789615
263,"The Cross: The Arthur Blessitt Story","3/27/2009","Gener8xion Entertainment","Documentary","PG",  741557,  98874,  780116
264,"Ajab Prem Ki Ghazab Kahani","11/6/2009","Viva Entertainment","Comedy","NA",  741238,  98832,  779784
265,"Beverly Hills Chihuahua","10/3/2008","Walt Disney Pictures","Comedy","PG",  735449,  98060,  773693
266,"Wake Up Sid","10/2/2009","UTV Communications","NA","NA",  718766,  95835,  756138
267,"Crazy Heart","12/16/2009","Fox Searchlight","Drama","R",  702188,  93625,  738701
268,"The Girlfriend Experience","5/22/2009","Magnolia Pictures","NA","NA",  695840,  92779,  732026
269,"Fanboys","2/6/2009","Weinstein Co.","Comedy","PG-13",  687609,  91681,  723363
270,"Anvil! The Story of Anvil","4/10/2009","Abramorama Films","Documentary","Not Rated",  667911,  89055,  702644
271,"The Stoning of Soraya M.","6/26/2009","Roadside Attractions","Drama","NA",  655871,  87449,  689973
272,"The Messenger","11/13/2009","Oscilloscope Pictures","Drama","R",  654374,  87250,  688403
273,"Play the Game","2/27/2009","Slowhand Cinema","Comedy","PG-13",  653120,  87083,  687085
274,"2009 Oscar Shorts","2/6/2009","Shorts International","Multiple Genres","Not Rated",  644635,  85951,  678153
275,"Let the Right One In","10/24/2008","Magnolia Pictures","Horror","R",  638173,  85090,  671360
276,"Amreeka","9/4/2009","National Geographic Entertainment","NA","PG-13",  620618,  82749,  652890
277,"Everlasting Moments","3/6/2009","IFC Films","NA","Not Rated",  610825,  81443,  642585
