1101.asc      Bin
250.asc       Entity Definition Matrix
251.asc       Residual Flexibility
252.asc       Entity Definition Matrix
253.asc       System Modal Energies
254.asc       Direct Frequency Response Solution Options
255.asc       Modal DOF
256.asc       System Master DOF
257.asc       System Constraint Equations
258.asc       System Restrained DOF
259.asc       Function Entities
2601.asc      Drawing Header
2602.asc      Drawing - Layout View
2609.asc      Layout View - Cutting Plane Curve
260.asc       DOF Vector for System
2610.asc      Layout View - Drawing Assembly
2612.asc      Layout View - 2D Dimension
2614.asc      Layout View - 2D Note
2615.asc      Layout View - Crosshatching
261.asc       Connector Function Creation Options
262.asc       Frequency-dep Translational Scalar Conn Data
263.asc       Frequency-dep Rotational Scalar Conn Data
264.asc       Frequency-dep General Scalar Conn Data
265.asc       Frequency-dep Bearing Scalar Conn Data
266.asc       Displacement-dep Trans Scalar Conn Data
267.asc       Displacement-dep Rotational Scalar Conn Data
268.asc       Displacement-dep General Scalar Conn Data
270.asc       Component Loads
281.asc       Response Evaluation Option
284.asc       Unbalance Excitation
285.asc       Rotating Force Excitation
286.asc       Response DOF Sets
290.asc       Dynamic Model Header
291.asc       Connector Header
292.asc       Component Header
298.asc       Active Entity
3001.asc      Thermal Coupling
3002.asc      Temperature Boundary Condition
3003.asc      Heat Load Boundary Condition
3004.asc      Heat Flux Boundary Condition
3005.asc      Thermostat
3006.asc      Initial Temperature
3007.asc      RADIATION REQUEST
3008.asc      Solar Heating
3009.asc      Radiative Heat Source
3010.asc      Reverse Sides
3011.asc      Forced Convective Coupling
3012.asc      Free Convective Coupling
3014.asc      Network Pressure Boundary Condition
3015.asc      Network Flow Definition
3016.asc      Merge Set
3017.asc      Elimination Set
3018.asc      Locked Element Set
3019.asc      Element Deactivation Set
301.asc       Leaf - Sectional Skin Group
3020.asc      Tabular Data
3021.asc      Interpolation Relationship
3022.asc      Additional Conductances
3023.asc      Local Symmetry Definition
3025.asc      Printout Option
3026.asc      Non-Geometric Element
3027.asc      Network Flow Section Override
3028.asc      Hydraulic Resistance Modifier
3029.asc      Network Flow Boundary Condition
302.asc       Leaf - Mesh-of-Curves Skin Group
3030.asc      Boundary Layer Continuation
3031.asc      ELEMENT RADIATION SWITCHES
3032.asc      Orbit Definition
3033.asc      Element Buoyancy Switch
3034.asc      Generic Entity
3035.asc      Text
303.asc       Leaf - Mesh-of-Points Skin Group
304.asc       Leaf - Boundary Curves Skin Group
3057.asc      RADIATION ENCLOSURE
308.asc       Skin Group - Detailed Description
3096.asc      Transient Analysis Parameters
3097.asc      Steady State Analysis Parameters
3098.asc      Analysis Options
3100.asc      Network Pressure Boundary Condition Control
3101.asc      Analysis Control
3102.asc      Steady State Analysis Parameters
3103.asc      Transient Analysis Parameters
3104.asc      Radiation Parameters
3105.asc      Radiation Constants
3106.asc      Ambient Conditions
3107.asc      Initial Temperature Control
3108.asc      Run Time Options
310.asc       Stored Tolerance Analysis Model
3110.asc      Analysis Options
3112.asc      Orbit Control
3113.asc      Variable Control
3114.asc      Model Translation Options Control
3115.asc      Model Simplification Control
311.asc       TAM - Profile
3120.asc      Boundary Condition Set
312.asc       TAM - Label Map
313.asc       TAM - Geometric Constraints
314.asc       TAM - External Constraints
3150.asc      Surface Property
3151.asc      Fan
3152.asc      Vent
3153.asc      Flow Surface
3154.asc      Flow Blockage
3155.asc      Thermal Boundary Condition
3156.asc      Thermal Coupling
157.asc       Ambient Conditions
3158.asc      Initial Conditions
3159.asc      Solver Options
3160.asc      Results Options
3161.asc      FAN CURVES
3165.asc      FLOW SURFACE
3201.asc      Member Data
3202.asc      State Data
3203.asc      Role Data
3204.asc      Role Assignment Data
3205.asc      Access Privilege Data
3206.asc      Attribute Label Data
3207.asc      Required Attribute Label Data
3208.asc      Database ID Data
3209.asc      Item Version Data
320.asc       Stored Sheet Metal Model - Header
3210.asc      Relationship Data
3211.asc      Member Data
3212.asc      Attribute Label Data
321.asc       Sheet Metal - Panel
322.asc       Sheet Metal - Bend Region
323.asc       Sheet Metal - Label Map
324.asc       Sheet Metal - Up-to-Date Precise Surface Map
330.asc       Sheet Metal Bend Function
436.asc       Colors
476.asc       System - Functions
477.asc       System - Function Groups
481.asc       Entity - Detailed Description
482.asc       Entity - Points
483.asc       Entity - Lines
484.asc       Entity - Notes
496.asc       System - Sequence
498.asc       System - Cross Section
499.asc       System - Joint
500.asc       System Assembly Status Data
501.asc       Stored Component - Header
503.asc       System - Hierarchy Nodes
505.asc       System - Animations
506.asc       System - Configuration
507.asc       System - VG Solution/Constraint Data
508.asc       System - VG Constraint Values
509.asc       System - Auxiliary Function Data
510.asc       System - Mechanism Solution Run
511.asc       System - Rigid Bodies
512.asc       System - Markers (Reference Triads)
513.asc       System - Springs/Dampers
514.asc       System - Higher Order Pairs
515.asc       System - Load Cases
516.asc       System - Gravity
517.asc       System - Forces
518.asc       System - Motion
519.asc       System - Initial Conditions
521.asc       Profile - 2D Dimensions
522.asc       Profile - Geometric Constraints
523.asc       Profile - External Constraints
524.asc       Stored Sectional Skin Group - Header
525.asc       Stored Mesh-of-Curves Skin Group - Header
526.asc       Stored Mesh-of-Points Skin Group - Header
527.asc       Stored Boundary Curves Skin Group - Header
528.asc       Profile - VG Variable Units Types - Header
529.asc       Stored Profile - Header
530.asc       Stored Object - Header
531.asc       Stored Feature - Header
532.asc       Application - External VDR Reference List
533.asc       Object - External VDR Reference List (ERL's)
534.asc       Object - History Node Header
535.asc       Object - History Node Header
537.asc       Object - History Leaf Header
540.asc       Node/Leaf - 3D Dimension
541.asc       Node/Leaf - Virtual Data Record (VDR)
542.asc       Node/Leaf - 3D Note (Label)
543.asc       Leaf - Surface Attributes
544.asc       Node/Leaf - Faceted B-REP
547.asc       Node/Leaf - Topological B-REP
548.asc       Node/Leaf - Centerpoints
549.asc       Node/Leaf - Surface Alias List
550.asc       Leaf - Profile
551.asc       Leaf - Sheet Metal Model
553.asc       Leaf - Bend Region Face List
555.asc       Leaf - Primitive Surface Associativity Map
556.asc       Leaf - Precise Surfaces
558.asc       Leaf - Centerlines
55.asc        Data at Nodes
560.asc       Node/Leaf - Relative Orientation Operators
561.asc       Node/Leaf - Relative Orientation Operators
562.asc       Object - Feature Creation Parameters
563.asc       Object - Feature Parameter Controlled Entity
564.asc       Object - Feature Parameter Affected Equation
565.asc       Object - Feature Table Configuration
566.asc       Object - Root Space Precise Surfaces
56.asc        Data on Elements
570.asc       Stored 2D Drawing Header
571.asc       Stored NC Setup Drawing Header
572.asc       2D Drawing - Drawing Reference List
574.asc       2D Drawing - Entity Instance List
575.asc       2D Layout View - 2D Crosshatching
576.asc       2D Drawing - Drawing View
577.asc       Layout View - Section View Cutting Plane
578.asc       2D Drawing - 2D Layout View
57.asc        Data at Nodes on Elements
580.asc       2D Layout View - Point
581.asc       2D Layout View - Line
582.asc       2D Layout View - Arc
583.asc       2D Layout View - Circle
584.asc       2D Layout View - Ellipse
586.asc       2D Layout View - B-Spline
587.asc       NC Setup Drawing - NC Setup Detail
588.asc       2D Layout View - 2D Deleted Entry
589.asc       2D Layout View - Key Dimension Mapping
58.asc        Function at Nodal DOF
590.asc       2D Layout View - 2D Note
591.asc       2D Layout View - Surface Set
592.asc       2D Layout View - 2D Crosshatching
593.asc       2D Layout View - Kcurve (Composite Curve)
594.asc       2D Layout View - 2D Dimension
595.asc       2D Layout View - Feature Control Symbol
596.asc       2D Layout View - Layout View Mapping
597.asc       System - Virtual Data Record (VDR)
598.asc       Stored System - Header
599.asc       System - Stable Hierarchy Node
604.asc       Residual Flexibility Matrix
605.asc       Mode Shape Analysis Data Record
606.asc       Enforced Motion Matrix
607.asc       Component Loads/Displacements
608.asc       Nonlinear Statics Solution Times Coordination
625.asc       Optimization Design
626.asc       Optimization Design Parameter
627.asc       Optimization Solution Set
628.asc       Optimization Stress Limit
629.asc       Optimization Displacement Limit
630.asc       Optimization Frequency Limit (Method 1)
631.asc       Optimization Frequency Limit (Method 2)
632.asc       Optimization Frequency Limit (Method 3)
633.asc       Optimization Frequency Limits (Solver Generated)
634.asc       Optimization Buckling Limit
635.asc       Optimization Mass Limits
636.asc       Optimization Design Goal
637.asc       Optimization Iteration
638.asc       Optimization Limit Histories
639.asc       Optimization Limit Sensitivities
640.asc       Optimization/Model Solution Solver/Analysis Parameters
641.asc       Optimization/Model Solution Solver/Analysis Parameters
642.asc       Optimization Temperature Limit
651.asc       Optimization Design Headers
660.asc       Subdesigns
664.asc       Constraint Sets
665.asc       Design Case Sets
666.asc       Optimization Element Groups
667.asc       Optimization Node Groups
668.asc       Optimization Variables
671.asc       Stress Constraints
672.asc       Displacement Constraints
677.asc       Frequency Constraints
681.asc       Stress Constraint Histories
685.asc       Optimization Variable Histories
686.asc       Displacement Constraint Histories
687.asc       Frequency Constraint Histories
695.asc       Mass History
696.asc       Design Sensitivities
697.asc       Lagrange Multipliers
732.asc       Beam Cross Section Geometry
734.asc       Beam Code Checking Parameters
735.asc       Node/Element - Geometry Associativity
742.asc       Double Precision B-Spline Surfaces
743.asc       Supertab Point
744.asc       Supertab Curve
745.asc       Mesh-Areas
746.asc       Mesh-Volumes
748.asc       Associated Element Data
752.asc       Permanent Groups
753.asc       Case Sets
754.asc       Constraint Sets
755.asc       Restraint Sets
757.asc       DOF Sets
762.asc       Free Meshing Data
763.asc       Frozen Curve Data
764.asc       Mesh Specification Data
765.asc       Data Surfaces
766.asc       Frozen Mesh Area Data
770.asc       Bin Header
771.asc       Model Header
772.asc       Physical Properties
773.asc       Material Properties
774.asc       Laminate Definitions
775.asc       Beam Cross Section Properties
776.asc       Beam Cross Section Properties
780.asc       Elements
781.asc       Nodes - Double Precision
782.asc       Load Sets
783.asc       Coordinate Data in IJK Format
784.asc       Connection Grid Specification for Mesh Areas
785.asc       Connection Grid Specification for Mesh Volumes
786.asc       Tetrahedron Face Connection Data
787.asc       Mass/Inertia Properties
788.asc       Physical Properties
789.asc       Physical Properties
790.asc       Load Sets
791.asc       Restraint Sets
792.asc       Temperature Sets
793.asc       Boundary Condition Sets
794.asc       Time Variation
795.asc       Mesh Area Labels in IJK Orientation
796.asc       Temperature Variation
797.asc       Linked-Curves Data
800.asc       Stored Wireframe - Header
801.asc       Wireframe - Curves
802.asc       Wireframe - Points
829.asc       Thermoplastic Data
82.asc        Tracelines
830.asc       Thermoplastic Data
831.asc       Thermoset Data
832.asc       Weld Locator Data
833.asc       Mold Filling - Dynamic Size Parameters
834.asc       Mold Filling - Bandwidth Optimization Map
835.asc       Mold Cooling - Dynamic Size Parameters
836.asc       Shell Thickness Data
